,treatment,block,Year,species,group,percentcover
43,Ambient,A,2,Veronica_chamaedrys,Forbs,2
44,Ambient,A,2,Vicia_sativa,Legumes,4
45,Ambient,A,3,Agrimonia_eupatoria,Forbs,1
46,Ambient,A,3,Arrhenatherum_elatius,Grass,25
47,Ambient,A,3,Brachypodium_sylvaticum,Grass,30
48,Ambient,A,3,Carex_flacca,Grass,1
49,Ambient,A,3,Cirsium_eriophorum,Forbs,1
50,Ambient,A,3,Clinopodium_vulgare,Forbs,2
51,Ambient,A,3,Crepis_capillaris,Forbs,1
52,Ambient,A,3,Dactylis_glomerata,Grass,1
53,Ambient,A,3,Galium_verum,Forbs,1
54,Ambient,A,3,Geranium_dissectum,Forbs,1
55,Ambient,A,3,Holcus_lanatus,Grass,12
56,Ambient,A,3,Lotus_corniculatus,Legumes,1
57,Ambient,A,3,Medicago_lupulina,Legumes,1
58,Ambient,A,3,Pastinaca_sativa,Forbs,2
59,Ambient,A,3,Potentilla_reptans,Forbs,1
60,Ambient,A,3,Ranunculus_repens,Forbs,1
61,Ambient,A,3,Scorzoneroides_autumnalis,Forbs,1
62,Ambient,A,3,Taraxacum_sect_vulgaria,Forbs,1
63,Ambient,A,3,Trifolium_repens,Legumes,15
64,Ambient,A,3,Trisetum_flavescens,Grass,3
65,Ambient,A,3,Veronica_chamaedrys,Forbs,1
66,Ambient,A,3,Vicia_sativa,Legumes,1
67,Ambient,A,3,Viola_hirta,Forbs,1
68,Ambient,A,4,Agrimonia_eupatoria,Forbs,1
69,Ambient,A,4,Agrostis_capillaris,Grass,3
70,Ambient,A,4,Agrostis_stolonifera,Grass,5
71,Ambient,A,4,Anacamptis_pyramidalis,Forbs,1
72,Ambient,A,4,Arrhenatherum_elatius,Grass,5
73,Ambient,A,4,Brachypodium_pinnatum,Grass,5
74,Ambient,A,4,Brachypodium_sylvaticum,Grass,30
75,Ambient,A,4,Bromus_commutatus,Grass,2
76,Ambient,A,4,Bromus_sterilis,Grass,1
77,Ambient,A,4,Carex_flacca,Grass,1
78,Ambient,A,4,Cerastium_fontanum,Forbs,1
79,Ambient,A,4,Clinopodium_vulgare,Forbs,3
80,Ambient,A,4,Crepis_capillaris,Forbs,1
81,Ambient,A,4,Dactylis_glomerata,Grass,3
82,Ambient,A,4,Galium_verum,Forbs,3
83,Ambient,A,4,Geranium_columbinum,Forbs,3
84,Ambient,A,4,Geranium_dissectum,Forbs,1
85,Ambient,A,4,Glechoma_hederacea,Forbs,1
86,Ambient,A,4,Holcus_lanatus,Grass,2
87,Ambient,A,4,Hypericum_perforatum,Forbs,1
88,Ambient,A,4,Lotus_corniculatus,Legumes,3
89,Ambient,A,4,Medicago_lupulina,Legumes,1
90,Ambient,A,4,Odontites_vernus,Forbs,2
91,Ambient,A,4,Pastinaca_sativa,Forbs,1
92,Ambient,A,4,Poa_pratensis,Grass,5
93,Ambient,A,4,Potentilla_reptans,Forbs,6
94,Ambient,A,4,Prunella_vulgaris,Forbs,1
95,Ambient,A,4,Ranunculus_acris,Forbs,1
96,Ambient,A,4,Ranunculus_repens,Forbs,2
97,Ambient,A,4,Taraxacum_sect_vulgaria,Forbs,1
98,Ambient,A,4,Trifolium_pratense,Legumes,1
99,Ambient,A,4,Trifolium_repens,Legumes,4
100,Ambient,A,4,Trisetum_flavescens,Grass,12
101,Ambient,A,4,Veronica_chamaedrys,Forbs,1
102,Ambient,A,4,Vicia_cracca,Legumes,1
103,Ambient,A,4,Vicia_sativa,Legumes,1
104,Ambient,A,5,Agrimonia_eupatoria,Forbs,1
105,Ambient,A,5,Agrostis_capillaris,Grass,1
106,Ambient,A,5,Agrostis_stolonifera,Grass,2
107,Ambient,A,5,Arrhenatherum_elatius,Grass,5
108,Ambient,A,5,Brachypodium_pinnatum,Grass,8
109,Ambient,A,5,Brachypodium_sylvaticum,Grass,15
110,Ambient,A,5,Bromus_commutatus,Grass,1
111,Ambient,A,5,Bromus_sterilis,Grass,2
112,Ambient,A,5,Carex_flacca,Grass,2
113,Ambient,A,5,Cerastium_fontanum,Forbs,1
114,Ambient,A,5,Clinopodium_vulgare,Forbs,3
115,Ambient,A,5,Crepis_capillaris,Forbs,2
116,Ambient,A,5,Dactylis_glomerata,Grass,4
117,Ambient,A,5,Galium_verum,Forbs,2
118,Ambient,A,5,Geranium_dissectum,Forbs,1
119,Ambient,A,5,Holcus_lanatus,Grass,1
120,Ambient,A,5,Hypericum_perforatum,Forbs,1
121,Ambient,A,5,Linum_catharticum,Forbs,1
122,Ambient,A,5,Lotus_corniculatus,Legumes,2
123,Ambient,A,5,Medicago_lupulina,Legumes,3
124,Ambient,A,5,Odontites_vernus,Forbs,2
125,Ambient,A,5,Potentilla_reptans,Forbs,12
126,Ambient,A,5,Taraxacum_sect_vulgaria,Forbs,1
127,Ambient,A,5,Trifolium_pratense,Legumes,1
128,Ambient,A,5,Trifolium_repens,Legumes,3
129,Ambient,A,5,Trisetum_flavescens,Grass,20
130,Ambient,A,5,Veronica_chamaedrys,Forbs,1
131,Ambient,A,5,Vicia_cracca,Legumes,1
132,Ambient,A,5,Vicia_sativa,Legumes,1
133,Ambient,A,6,Agrimonia_eupatoria,Forbs,2
134,Ambient,A,6,Agrostis_stolonifera,Grass,1
135,Ambient,A,6,Arrhenatherum_elatius,Grass,8
136,Ambient,A,6,Brachypodium_sylvaticum,Grass,20
137,Ambient,A,6,Bromus_commutatus,Grass,3
138,Ambient,A,6,Bromus_sterilis,Grass,1
139,Ambient,A,6,Carex_flacca,Grass,4
140,Ambient,A,6,Cerastium_fontanum,Forbs,1
141,Ambient,A,6,Clinopodium_vulgare,Forbs,1
142,Ambient,A,6,Crataegus_monogyna,Woody,2
143,Ambient,A,6,Crepis_capillaris,Forbs,2
144,Ambient,A,6,Dactylis_glomerata,Grass,2
145,Ambient,A,6,Geranium_dissectum,Forbs,1
146,Ambient,A,6,Holcus_lanatus,Grass,6
147,Ambient,A,6,Lotus_corniculatus,Legumes,4
148,Ambient,A,6,Medicago_lupulina,Legumes,20
149,Ambient,A,6,Odontites_vernus,Forbs,1
150,Ambient,A,6,Pastinaca_sativa,Forbs,2
151,Ambient,A,6,Poa_trivialis,Grass,2
152,Ambient,A,6,Potentilla_reptans,Forbs,8
153,Ambient,A,6,Prunella_vulgaris,Forbs,3
154,Ambient,A,6,Ranunculus_acris,Forbs,2
155,Ambient,A,6,Ranunculus_repens,Forbs,1
156,Ambient,A,6,Taraxacum_sect_vulgaria,Forbs,1
157,Ambient,A,6,Trifolium_repens,Legumes,3
158,Ambient,A,6,Trisetum_flavescens,Grass,30
159,Ambient,A,6,Veronica_chamaedrys,Forbs,2
160,Ambient,A,6,Vicia_cracca,Legumes,1
161,Ambient,A,6,Vicia_sativa,Legumes,1
162,Ambient,A,7,Agrimonia_eupatoria,Forbs,5
163,Ambient,A,7,Anacamptis_pyramidalis,Forbs,1
164,Ambient,A,7,Arrhenatherum_elatius,Grass,4
165,Ambient,A,7,Brachypodium_sylvaticum,Grass,20
166,Ambient,A,7,Bromus_commutatus,Grass,6
167,Ambient,A,7,Bromus_sterilis,Grass,2
168,Ambient,A,7,Carex_flacca,Grass,2
169,Ambient,A,7,Cerastium_fontanum,Forbs,1
170,Ambient,A,7,Clinopodium_vulgare,Forbs,4
171,Ambient,A,7,Crataegus_monogyna,Woody,2
172,Ambient,A,7,Crepis_capillaris,Forbs,1
173,Ambient,A,7,Dactylis_glomerata,Grass,2
174,Ambient,A,7,Galium_verum,Forbs,1
175,Ambient,A,7,Geranium_dissectum,Forbs,1
176,Ambient,A,7,Holcus_lanatus,Grass,8
177,Ambient,A,7,Hypericum_perforatum,Forbs,1
178,Ambient,A,7,Lolium_perenne,Grass,1
179,Ambient,A,7,Lotus_corniculatus,Legumes,4
180,Ambient,A,7,Medicago_lupulina,Legumes,2
181,Ambient,A,7,Odontites_verna,Forbs,2
182,Ambient,A,7,Pastinaca_sativa,Forbs,1
183,Ambient,A,7,Poa_trivialis,Grass,1
184,Ambient,A,7,Potentilla_reptans,Forbs,5
185,Ambient,A,7,Prunella_vulgaris,Forbs,3
186,Ambient,A,7,Ranunculus_acris,Forbs,1
187,Ambient,A,7,Ranunculus_repens,Forbs,2
188,Ambient,A,7,Taraxacum_sect._vulgaria,Forbs,1
189,Ambient,A,7,Trifolium_repens,Legumes,8
190,Ambient,A,7,Trisetum_flavescens,Grass,18
191,Ambient,A,7,Veronica_chamaedrys,Forbs,3
192,Ambient,A,7,Vicia_sativa,Legumes,1
193,Ambient,B,1,Agrimonia_eupatoria,Forbs,1
194,Ambient,B,1,Agrostis_stolonifera,Grass,1
195,Ambient,B,1,Arrhenatherum_elatius,Grass,2
196,Ambient,B,1,Brachypodium_pinnatum,Grass,3
197,Ambient,B,1,Brachypodium_sylvaticum,Grass,2
198,Ambient,B,1,Bromus_racemosus,Grass,1
199,Ambient,B,1,Clinopodium_vulgare,Forbs,5
200,Ambient,B,1,Crepis_capillaris,Forbs,0.1
201,Ambient,B,1,Cynosurus_cristatus,Grass,2
202,Ambient,B,1,Festuca_rubra,Grass,1
203,Ambient,B,1,Geranium_dissectum,Forbs,1
204,Ambient,B,1,Geranium_pusillum,Forbs,1
205,Ambient,B,1,Glechoma_hederacea,Forbs,1
206,Ambient,B,1,Holcus_lanatus,Grass,6
207,Ambient,B,1,Hypericum_perforatum,Forbs,0.1
208,Ambient,B,1,Leucanthemum_vulgare,Forbs,0.1
209,Ambient,B,1,Lolium_perenne,Grass,1
210,Ambient,B,1,Lotus_corniculatus,Legumes,35
211,Ambient,B,1,Medicago_lupulina,Legumes,0.1
212,Ambient,B,1,Pastinaca_sativa,Forbs,1
213,Ambient,B,1,Poa_trivialis,Grass,2
214,Ambient,B,1,Potentilla_reptans,Forbs,8
215,Ambient,B,1,Primula_veris,Forbs,8
216,Ambient,B,1,Prunella_vulgaris,Forbs,1
217,Ambient,B,1,Ranunculus_repens,Forbs,0.1
218,Ambient,B,1,Scorzoneroides_autumnalis,Forbs,0.1
219,Ambient,B,1,Trifolium_pratense,Legumes,15
220,Ambient,B,1,Trifolium_repens,Legumes,12
221,Ambient,B,1,Trisetum_flavescens,Grass,6
222,Ambient,B,1,Veronica_chamaedrys,Forbs,2
223,Ambient,B,1,Vicia_sativa,Legumes,0.1
224,Ambient,B,1,Viola_hirta,Forbs,0.1
225,Ambient,B,2,Agrimonia_eupatoria,Forbs,1
226,Ambient,B,2,Agrostis_stolonifera,Grass,1
227,Ambient,B,2,Brachypodium_sylvaticum,Grass,10
228,Ambient,B,2,Bromus_hordaceus,Grass,2
229,Ambient,B,2,Convolvulus_arvensis,Forbs,1
230,Ambient,B,2,Crataegus_monogyna,Woody,10
231,Ambient,B,2,Cynosurus_cristatus,Grass,1
232,Ambient,B,2,Festuca_rubra,Grass,20
233,Ambient,B,2,Geranium_dissectum,Forbs,2
234,Ambient,B,2,Pastinaca_sativa,Forbs,2
235,Ambient,B,2,Potentilla_reptans,Forbs,3
236,Ambient,B,2,Primula_veris,Forbs,1
237,Ambient,B,2,Scorzoneroides_autumnalis,Forbs,1
238,Ambient,B,2,Trisetum_flavescens,Grass,8
239,Ambient,B,2,Veronica_chamaedrys,Forbs,2
240,Ambient,B,3,Agrimonia_eupatoria,Forbs,1
241,Ambient,B,3,Agrostis_stolonifera,Grass,5
242,Ambient,B,3,Arrhenatherum_elatius,Grass,5
243,Ambient,B,3,Brachypodium_pinnatum,Grass,1
244,Ambient,B,3,Brachypodium_sylvaticum,Grass,10
245,Ambient,B,3,Carex_sylvatica,Grass,1
246,Ambient,B,3,Cerastium_fontanum,Forbs,1
247,Ambient,B,3,Cirsium_eriophorum,Forbs,1
248,Ambient,B,3,Clinopodium_vulgare,Forbs,1
249,Ambient,B,3,Crataegus_monogyna,Woody,4
250,Ambient,B,3,Crepis_capillaris,Forbs,1
251,Ambient,B,3,Cynosurus_cristatus,Grass,5
252,Ambient,B,3,Dactylis_glomerata,Grass,1
253,Ambient,B,3,Festuca_rubra,Grass,25
254,Ambient,B,3,Galium_album,Forbs,1
255,Ambient,B,3,Geranium_columbinum,Forbs,1
256,Ambient,B,3,Holcus_lanatus,Grass,2
257,Ambient,B,3,Hyacinthoides_non_scripta,Forbs,1
258,Ambient,B,3,Hypericum_hirsutum,Forbs,1
259,Ambient,B,3,Hypericum_perforatum,Forbs,1
260,Ambient,B,3,Lolium_perenne,Grass,3
261,Ambient,B,3,Lotus_corniculatus,Legumes,2
262,Ambient,B,3,Medicago_lupulina,Legumes,1
263,Ambient,B,3,Poa_trivialis,Grass,1
264,Ambient,B,3,Potentilla_reptans,Forbs,2
265,Ambient,B,3,Primula_veris,Forbs,2
266,Ambient,B,3,Prunella_vulgaris,Forbs,1
267,Ambient,B,3,Ranunculus_repens,Forbs,1
268,Ambient,B,3,Taraxacum_sect_vulgaria,Forbs,1
269,Ambient,B,3,Trifolium_pratense,Legumes,2
270,Ambient,B,3,Trifolium_repens,Legumes,1
271,Ambient,B,3,Veronica_chamaedrys,Forbs,2
272,Ambient,B,3,Vicia_sativa,Legumes,1
273,Ambient,B,3,Viola_hirta,Forbs,1
274,Ambient,B,4,Agrimonia_eupatoria,Forbs,2
275,Ambient,B,4,Agrostis_stolonifera,Grass,3
276,Ambient,B,4,Arrhenatherum_elatius,Grass,2
277,Ambient,B,4,Brachypodium_pinnatum,Grass,1
278,Ambient,B,4,Brachypodium_sylvaticum,Grass,5
279,Ambient,B,4,Bromus_commutatus,Grass,1
280,Ambient,B,4,Clinopodium_vulgare,Forbs,1
281,Ambient,B,4,Crataegus_monogyna,Woody,3
282,Ambient,B,4,Crepis_capillaris,Forbs,1
283,Ambient,B,4,Cynosurus_cristatus,Grass,1
284,Ambient,B,4,Festuca_rubra,Grass,40
285,Ambient,B,4,Geranium_columbinum,Forbs,2
286,Ambient,B,4,Geranium_dissectum,Forbs,1
287,Ambient,B,4,Holcus_lanatus,Grass,2
288,Ambient,B,4,Hypericum_hirsutum,Forbs,1
289,Ambient,B,4,Hypericum_perforatum,Forbs,1
290,Ambient,B,4,Linum_catharticum,Forbs,1
291,Ambient,B,4,Lolium_perenne,Grass,6
292,Ambient,B,4,Lotus_corniculatus,Legumes,35
293,Ambient,B,4,Medicago_lupulina,Legumes,2
294,Ambient,B,4,Pastinaca_sativa,Forbs,1
295,Ambient,B,4,Potentilla_reptans,Forbs,5
296,Ambient,B,4,Primula_veris,Forbs,1
297,Ambient,B,4,Taraxacum_sect_vulgaria,Forbs,1
298,Ambient,B,4,Tragopogon_pratensis,Forbs,1
299,Ambient,B,4,Trifolium_pratense,Legumes,2
300,Ambient,B,4,Trifolium_repens,Legumes,1
301,Ambient,B,4,Trisetum_flavescens,Grass,10
302,Ambient,B,4,Veronica_chamaedrys,Forbs,1
303,Ambient,B,4,Vicia_sativa,Legumes,1
304,Ambient,B,4,Viola_hirta,Forbs,1
305,Ambient,B,5,Agrimonia_eupatoria,Forbs,1
306,Ambient,B,5,Agrostis_stolonifera,Grass,3
307,Ambient,B,5,Arrhenatherum_elatius,Grass,2
308,Ambient,B,5,Brachypodium_pinnatum,Grass,5
309,Ambient,B,5,Brachypodium_sylvaticum,Grass,5
310,Ambient,B,5,Bromus_commutatus,Grass,4
311,Ambient,B,5,Bromus_sterilis,Grass,2
312,Ambient,B,5,Clinopodium_vulgare,Forbs,2
313,Ambient,B,5,Crataegus_monogyna,Woody,3
314,Ambient,B,5,Crepis_capillaris,Forbs,1
315,Ambient,B,5,Cynosurus_cristatus,Grass,3
316,Ambient,B,5,Festuca_rubra,Grass,20
317,Ambient,B,5,Galium_mollugo,Forbs,10
318,Ambient,B,5,Galium_verum,Forbs,1
319,Ambient,B,5,Geranium_columbinum,Forbs,1
320,Ambient,B,5,Geranium_dissectum,Forbs,1
321,Ambient,B,5,Holcus_lanatus,Grass,1
322,Ambient,B,5,Hypericum_perforatum,Forbs,1
323,Ambient,B,5,Linum_catharticum,Forbs,1
324,Ambient,B,5,Lotus_corniculatus,Legumes,50
325,Ambient,B,5,Medicago_lupulina,Legumes,2
326,Ambient,B,5,Odontites_vernus,Forbs,1
327,Ambient,B,5,Pastinaca_sativa,Forbs,1
328,Ambient,B,5,Potentilla_reptans,Forbs,2
329,Ambient,B,5,Primula_veris,Forbs,2
330,Ambient,B,5,Taraxacum_sect_vulgaria,Forbs,1
331,Ambient,B,5,Tragopogon_pratensis,Forbs,1
332,Ambient,B,5,Trifolium_pratense,Legumes,3
333,Ambient,B,5,Trifolium_repens,Legumes,2
334,Ambient,B,5,Trisetum_flavescens,Grass,6
335,Ambient,B,5,Veronica_chamaedrys,Forbs,1
336,Ambient,B,5,Vicia_sativa,Legumes,1
337,Ambient,B,5,Viola_hirta,Forbs,1
338,Ambient,B,6,Agrimonia_eupatoria,Forbs,2
339,Ambient,B,6,Anacamptis_pyramidalis,Forbs,1
340,Ambient,B,6,Arrhenatherum_elatius,Grass,3
341,Ambient,B,6,Brachypodium_pinnatum,Grass,6
342,Ambient,B,6,Brachypodium_sylvaticum,Grass,3
343,Ambient,B,6,Bromus_commutatus,Grass,3
344,Ambient,B,6,Clinopodium_vulgare,Forbs,1
345,Ambient,B,6,Crataegus_monogyna,Woody,3
346,Ambient,B,6,Crepis_capillaris,Forbs,1
347,Ambient,B,6,Cynosurus_cristatus,Grass,1
348,Ambient,B,6,Festuca_rubra,Grass,15
349,Ambient,B,6,Galium_mollugo,Forbs,2
350,Ambient,B,6,Galium_verum,Forbs,1
351,Ambient,B,6,Geranium_columbinum,Forbs,1
352,Ambient,B,6,Geranium_dissectum,Forbs,1
353,Ambient,B,6,Holcus_lanatus,Grass,3
354,Ambient,B,6,Hypericum_perforatum,Forbs,1
355,Ambient,B,6,Linum_catharticum,Forbs,1
356,Ambient,B,6,Lolium_perenne,Grass,2
357,Ambient,B,6,Lotus_corniculatus,Legumes,40
358,Ambient,B,6,Medicago_lupulina,Legumes,8
359,Ambient,B,6,Pastinaca_sativa,Forbs,2
360,Ambient,B,6,Potentilla_reptans,Forbs,1
361,Ambient,B,6,Primula_veris,Forbs,2
362,Ambient,B,6,Tragopogon_pratensis,Forbs,1
363,Ambient,B,6,Trifolium_pratense,Legumes,4
364,Ambient,B,6,Trifolium_repens,Legumes,2
365,Ambient,B,6,Trisetum_flavescens,Grass,20
366,Ambient,B,6,Veronica_chamaedrys,Forbs,1
367,Ambient,B,6,Vicia_sativa,Legumes,1
368,Ambient,B,7,Agrimonia_eupatoria,Forbs,2
369,Ambient,B,7,Anacamptis_pyramidalis,Forbs,1
370,Ambient,B,7,Arrhenatherum_elatius,Grass,3
371,Ambient,B,7,Brachypodium_pinnatum,Grass,12
372,Ambient,B,7,Brachypodium_sylvaticum,Grass,6
373,Ambient,B,7,Bromus_commutatus,Grass,3
374,Ambient,B,7,Bromus_sterilis,Grass,2
375,Ambient,B,7,Cerastium_fontanum,Forbs,1
376,Ambient,B,7,Clinopodium_vulgare,Forbs,4
377,Ambient,B,7,Crepis_biennis,Forbs,2
378,Ambient,B,7,Crepis_capillaris,Forbs,3
379,Ambient,B,7,Cynosurus_cristatus,Grass,1
380,Ambient,B,7,Festuca_rubra,Grass,10
381,Ambient,B,7,Galium_verum,Forbs,4
382,Ambient,B,7,Geranium_columbinum,Forbs,1
383,Ambient,B,7,Glechoma_hederacea,Forbs,1
384,Ambient,B,7,Holcus_lanatus,Grass,5
385,Ambient,B,7,Hypericum_hirsutum,Forbs,1
386,Ambient,B,7,Hypericum_perforatum,Forbs,1
387,Ambient,B,7,Lolium_perenne,Grass,1
388,Ambient,B,7,Lotus_corniculatus,Legumes,25
389,Ambient,B,7,Medicago_lupulina,Legumes,8
390,Ambient,B,7,Orobanche_minor,Forbs,1
391,Ambient,B,7,Pastinaca_sativa,Forbs,1
392,Ambient,B,7,Potentilla_reptans,Forbs,2
393,Ambient,B,7,Primula_veris,Forbs,2
394,Ambient,B,7,Prunella_vulgaris,Forbs,1
395,Ambient,B,7,Taraxacum_sect._vulgaria,Forbs,1
396,Ambient,B,7,Tragopogon_pratensis,Forbs,1
397,Ambient,B,7,Trifolium_pratense,Legumes,6
398,Ambient,B,7,Trifolium_repens,Legumes,4
399,Ambient,B,7,Trisetum_flavescens,Grass,15
400,Ambient,B,7,Veronica_chamaedrys,Forbs,1
401,Ambient,B,7,Vicia_sativa,Legumes,1
402,Ambient,B,7,Viola_hirta,Forbs,2
403,Ambient,C,1,Arrhenatherum_elatius,Grass,20
404,Ambient,C,1,Brachypodium_pinnatum,Grass,15
405,Ambient,C,1,Bromus_hordaceus,Grass,0.1
406,Ambient,C,1,Bromus_sterilis,Grass,0.1
407,Ambient,C,1,Carex_caryophyllea,Grass,0.1
408,Ambient,C,1,Cerastium_fontanum,Forbs,0.1
409,Ambient,C,1,Clinopodium_vulgare,Forbs,10
410,Ambient,C,1,Festuca_rubra,Grass,20
411,Ambient,C,1,Jacobaea_vulgaris,Forbs,1
412,Ambient,C,1,Lotus_corniculatus,Legumes,50
413,Ambient,C,1,Medicago_lupulina,Legumes,11
414,Ambient,C,1,Poa_trivialis,Grass,2
415,Ambient,C,1,Potentilla_reptans,Forbs,10
416,Ambient,C,1,Prunella_vulgaris,Forbs,0.1
417,Ambient,C,1,Sanguisorba_minor,Forbs,1
418,Ambient,C,1,Trifolium_repens,Legumes,3
419,Ambient,C,1,Trisetum_flavescens,Grass,10
420,Ambient,C,1,Veronica_chamaedrys,Forbs,2
421,Ambient,C,1,Vicia_sativa,Legumes,0.1
422,Ambient,C,1,Viola_hirta,Forbs,1
423,Ambient,C,2,Agrostis_capillaris,Grass,1
424,Ambient,C,2,Arrhenatherum_elatius,Grass,2
425,Ambient,C,2,Brachypodium_pinnatum,Grass,50
426,Ambient,C,2,Clinopodium_vulgare,Forbs,4
427,Ambient,C,2,Dactylis_glomerata,Grass,1
428,Ambient,C,2,Festuca_rubra,Grass,15
429,Ambient,C,2,Geranium_dissectum,Forbs,1
430,Ambient,C,2,Glechoma_hederacea,Forbs,1
431,Ambient,C,2,Holcus_lanatus,Grass,1
432,Ambient,C,2,Jacobaea_vulgaris,Forbs,2
433,Ambient,C,2,Linum_catharticum,Forbs,5
434,Ambient,C,2,Lotus_corniculatus,Legumes,15
435,Ambient,C,2,Medicago_lupulina,Legumes,10
436,Ambient,C,2,Poa_trivialis,Grass,2
437,Ambient,C,2,Potentilla_reptans,Forbs,2
438,Ambient,C,2,Sanguisorba_minor,Forbs,1
439,Ambient,C,2,Trifolium_pratense,Legumes,1
440,Ambient,C,2,Trifolium_repens,Legumes,1
441,Ambient,C,2,Trisetum_flavescens,Grass,4
442,Ambient,C,2,Veronica_chamaedrys,Forbs,4
443,Ambient,C,2,Viola_hirta,Forbs,2
444,Ambient,C,3,Agrimonia_eupatoria,Forbs,1
445,Ambient,C,3,Arrhenatherum_elatius,Grass,4
446,Ambient,C,3,Brachypodium_pinnatum,Grass,40
447,Ambient,C,3,Clinopodium_vulgare,Forbs,1
448,Ambient,C,3,Cynosurus_cristatus,Grass,1
449,Ambient,C,3,Dactylis_glomerata,Grass,1
450,Ambient,C,3,Festuca_rubra,Grass,12
451,Ambient,C,3,Hypericum_hirsutum,Forbs,1
452,Ambient,C,3,Linum_catharticum,Forbs,1
453,Ambient,C,3,Lotus_corniculatus,Legumes,20
454,Ambient,C,3,Medicago_lupulina,Legumes,3
455,Ambient,C,3,Pastinaca_sativa,Forbs,1
456,Ambient,C,3,Potentilla_reptans,Forbs,1
457,Ambient,C,3,Prunella_vulgaris,Forbs,1
458,Ambient,C,3,Senecio_erucifolius,Forbs,1
459,Ambient,C,3,Trifolium_repens,Legumes,2
460,Ambient,C,3,Trisetum_flavescens,Grass,3
461,Ambient,C,3,Veronica_chamaedrys,Forbs,1
462,Ambient,C,3,Vicia_sativa,Legumes,1
463,Ambient,C,4,Agrimonia_eupatoria,Forbs,3
464,Ambient,C,4,Arrhenatherum_elatius,Grass,2
465,Ambient,C,4,Brachypodium_pinnatum,Grass,25
466,Ambient,C,4,Bromus_commutatus,Grass,1
467,Ambient,C,4,Clinopodium_vulgare,Forbs,1
468,Ambient,C,4,Crepis_capillaris,Forbs,1
469,Ambient,C,4,Dactylis_glomerata,Grass,1
470,Ambient,C,4,Festuca_rubra,Grass,30
471,Ambient,C,4,Geranium_columbinum,Forbs,1
472,Ambient,C,4,Holcus_lanatus,Grass,1
473,Ambient,C,4,Hypericum_hirsutum,Forbs,1
474,Ambient,C,4,Linum_catharticum,Forbs,1
475,Ambient,C,4,Lotus_corniculatus,Legumes,25
476,Ambient,C,4,Medicago_lupulina,Legumes,2
477,Ambient,C,4,Pastinaca_sativa,Forbs,1
478,Ambient,C,4,Poa_trivialis,Grass,1
479,Ambient,C,4,Potentilla_reptans,Forbs,2
480,Ambient,C,4,Prunella_vulgaris,Forbs,1
481,Ambient,C,4,Senecio_erucifolius,Forbs,1
482,Ambient,C,4,Tragopogon_pratensis,Forbs,1
483,Ambient,C,4,Trifolium_pratense,Legumes,1
484,Ambient,C,4,Trifolium_repens,Legumes,1
485,Ambient,C,4,Trisetum_flavescens,Grass,8
486,Ambient,C,4,Veronica_chamaedrys,Forbs,1
487,Ambient,C,4,Vicia_hirsuta,Legumes,1
488,Ambient,C,4,Vicia_sativa,Legumes,1
489,Ambient,C,4,Viola_hirta,Forbs,1
